created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,is_external
2020-05-29 15:49:31.119 -0700,BRETT_MRKT_AGG_DISAGG_20200516,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,LINEAR(MRKT_KEY ),4919,1048576,NIELSENBUY_CS_EXTRACT_USR_RL,1,OFF,OFF,N
2018-12-10 19:15:43.097 -0800,CSL_CND,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,LINEAR(CSL_KEY),0,0,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-11-07 20:06:45.275 -0800,CSL_DSP_20201031,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",1828617361,15453368832,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-11-14 19:14:36.213 -0800,CSL_DSP_20201107,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",1826677863,15433189888,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-11-22 03:52:16.963 -0800,CSL_DSP_20201114,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",1823968759,15416228352,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-11-28 22:03:13.974 -0800,CSL_DSP_20201121,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",1817269510,15360551936,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-12-06 02:25:05.596 -0800,CSL_DSP_20201128,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",1797327912,15186995712,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-12-12 19:30:54.503 -0800,CSL_DSP_20201205,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",1795650775,15168551936,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-12-20 12:14:44.957 -0800,CSL_DSP_20201212,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",1794106730,15152803328,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-12-26 21:46:35.939 -0800,CSL_DSP_20201219,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",1791766716,15138490368,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:16:34.516 -0800,CSL_DSP_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",1765015835,14901286912,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-11-07 20:31:43.641 -0800,CSL_DSP_MFR_20201031,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",855166297,7064635392,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-11-14 20:07:19.412 -0800,CSL_DSP_MFR_20201107,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",856040825,7068115968,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-11-22 03:59:44.830 -0800,CSL_DSP_MFR_20201114,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",860595098,7111529472,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-11-28 22:58:41.418 -0800,CSL_DSP_MFR_20201121,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",856868187,7081661952,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-12-06 03:14:42.802 -0800,CSL_DSP_MFR_20201128,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",848756431,7020069888,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-12-12 20:28:04.758 -0800,CSL_DSP_MFR_20201205,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",849155397,7021498880,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-12-20 13:09:49.810 -0800,CSL_DSP_MFR_20201212,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",849043016,7017554944,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2020-12-26 22:18:30.854 -0800,CSL_DSP_MFR_20201219,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",833917745,6869107200,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
2021-01-03 13:57:44.595 -0800,CSL_DSP_MFR_20201226,CSNLSSYNDPI_PROD,PUBLIC,TABLE,,"LINEAR( PRD_ID, POD_ID)",820752706,6762651648,NIELSENBUY_CS_OD_BE_RW_ROLE,1,OFF,OFF,N
