created_on,name,reserved,database_name,schema_name,owner,comment,text,is_secure,is_materialized
2021-01-04 18:45:39.201 -0800,CSL_DSP,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,create or replace VIEW CSL_DSP as select * from CSNLSSYNDPI_PROD..CSL_DSP_20201226;,false,false
2021-01-04 18:45:45.549 -0800,CSL_FEATURE,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,create or replace VIEW CSL_FEATURE as select * from CSNLSSYNDPI_PROD..CSL_FEATURE_20201226;,false,false
2021-01-04 18:42:11.342 -0800,CSL_HRCH,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,create or replace VIEW CSL_HRCH as select * from CSNLSSYNDPI_PROD..CSL_HRCH_20201226;,false,false
2021-01-04 18:42:16.783 -0800,CSL_MAP,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,create or replace VIEW CSL_MAP as select * from CSNLSSYNDPI_PROD..CSL_MAP_20201226;,false,false
2021-01-04 18:45:51.899 -0800,CSL_PRICE,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,create or replace VIEW CSL_PRICE as select * from CSNLSSYNDPI_PROD..CSL_PRICE_20201226;,false,false
2021-01-04 18:47:03.384 -0800,MRKT_ACV_INST,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,create or replace VIEW MRKT_ACV_INST as select * from CSNLSSYNDPI_PROD..MRKT_ACV_INST_20201226;,false,false
2021-01-04 18:47:15.453 -0800,MRKT_AGG_DISAGG,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,create or replace VIEW MRKT_AGG_DISAGG as select * from CSNLSSYNDPI_PROD..MRKT_AGG_DISAGG_20201226;,false,false
2021-01-04 17:34:03.114 -0800,MRKT_DIM_V,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,CREATE OR REPLACE VIEW MRKT_DIM_V AS SELECT * FROM MRKT_DIM;,false,false
2021-01-04 18:46:43.898 -0800,MRKT_POD_ACV_INST_AGG,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,create or replace VIEW MRKT_POD_ACV_INST_AGG as select * from CSNLSSYNDPI_PROD..MRKT_POD_ACV_INST_AGG_20201226;,false,false
2021-01-04 18:46:49.671 -0800,MRKT_POD_ACV_INST_DISAGG,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,create or replace VIEW MRKT_POD_ACV_INST_DISAGG as select * from CSNLSSYNDPI_PROD..MRKT_POD_ACV_INST_DISAGG_20201226;,false,false
2021-01-04 18:47:09.554 -0800,MRKT_POD_AGG_RLTD,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,"create or replace VIEW MRKT_POD_AGG_RLTD as select MRKT_KEY,POD_ID,USE_VOL from CSNLSSYNDPI_PROD..MRKT_POD_AGG_RLTD_20201226;",false,false
2021-01-04 18:46:55.146 -0800,POD_ACV_INST,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,create or replace VIEW POD_ACV_INST as select * from CSNLSSYNDPI_PROD..POD_ACV_INST_20201226;,false,false
2021-01-04 17:34:59.372 -0800,PRD_DIM_PREV,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,"CREATE OR REPLACE VIEW PRD_DIM_PREV AS ( SELECT A.*,1000000-(TRANSLATE(substr(DECODE(A.PWEEK_DSC,'',NULL,'NULL',NULL,'NOT APPLICABLE',NULL,A.PWEEK_DSC),4,7),'-','')) as PWEEK_ORD,1000000-(TRANSLATE(substr(DECODE(A.PPERIOD_DSC,'',NULL,'NULL',NULL,'NOT APPLICABLE',NULL,A.PPERIOD_DSC),4,7),'-','')) as PPERIOD_ORD,1000000-(TRANSLATE(substr(DECODE(A.PQUARTER_DSC,'',NULL,'NULL',NULL,'NOT APPLICABLE',NULL,A.PQUARTER_DSC),4,7),'-','')) as PQUARTER_ORD,1000000-(TRANSLATE(substr(DECODE(A.PYEAR_DSC,'',NULL,'NULL',NULL,'NOT APPLICABLE',NULL,A.PYEAR_DSC),4,7),'-','')) as PYEAR_ORD FROM CS_OD_MSTR_US_PROD.PUBLIC.CSSYNPRD_PRD_DIM_PREV_CSNLSSYNDPI_PROD_20201226_RPT A WHERE A.PCKG_ID IN ( SELECT PCKG_ID FROM PRD_DIM ));",false,false
2021-01-01 03:26:37.804 -0800,PRD_DIM_V,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,"create or replace view PRD_DIM_V as SELECT A.Prd_SP as Prd_SP,A.WEEK_IN_MONTH_DSC as WEEK_IN_MONTH_DSC,A.YTD as YTD,A.MONTHS3 as MONTHS3,A.PQUARTER_ORD as PQUARTER_ORD,A.PRD_ID_YAGO as PRD_ID_YAGO,A.QUARTER_ORD as QUARTER_ORD,A.PRD_SRC_ID as PRD_SRC_ID,A.WEEKS26 as WEEKS26,A.MONTHS12 as MONTHS12,A.RPT_MONTHS as RPT_MONTHS,A.HOLIDAYS as HOLIDAYS,A.PRD_RLS_IND as PRD_RLS_IND,A.PRD_DSP_FOLDER as PRD_DSP_FOLDER,A.FYEAR_ORD as FYEAR_ORD,A.MONTH_IN_QUARTER_DSC as MONTH_IN_QUARTER_DSC,A.NUM_OF_WKS as NUM_OF_WKS,A.WEEK_ORD as WEEK_ORD,A.HALF_YEARS as HALF_YEARS,A.PRD_DSC_SIMPLE as PRD_DSC_SIMPLE,A.YEAR_DSC as YEAR_DSC,A.PPERIOD_DSC as PPERIOD_DSC,A.DSP_FOLDER_AD as DSP_FOLDER_AD,A.FQUARTER_IN_YEAR_DSC as FQUARTER_IN_YEAR_DSC,A.PRD_TAG as PRD_TAG,A.WEEKS52 as WEEKS52,A.MONTH_ORD as MONTH_ORD,A.PMONTH_DSC as PMONTH_DSC,A.SWEEK_IN_YEAR_DSC as SWEEK_IN_YEAR_DSC,A.WEEKS4 as WEEKS4,A.SMONTH_IN_QUARTER_DSC as SMONTH_IN_QUARTER_DSC,A.PRD_ID as PRD_ID,A.FILTER_NAME as FILTER_NAME,A.PWEEK_DSC as PWEEK_DSC,A.QUARTERS as QUARTERS,A.PYEAR_DSC as PYEAR_DSC,A.WEEKS24 as WEEKS24,A.MONTHS6 as MONTHS6,A.QTD as QTD,A.PRD_DET_LVL as PRD_DET_LVL,A.CADENCE as CADENCE,A.WEEKS4_ORD as WEEKS4_ORD,A.DT_SRC_DTL_NM as DT_SRC_DTL_NM,A.PWEEK_ORD as PWEEK_ORD,A.PQUARTER_DSC as PQUARTER_DSC,A.MONTHS1 as MONTHS1,A.QUARTER_IN_YEAR_DSC as QUARTER_IN_YEAR_DSC,A.MONTHS as MONTHS,A.WEEKS12 as WEEKS12,A.CUME_END_DT as CUME_END_DT,A.MONTHLY as MONTHLY,A.PRD_DSP_ORDER as PRD_DSP_ORDER,A.DIM_TYP as DIM_TYP,A.SQUARTER_IN_YEAR_DSC as SQUARTER_IN_YEAR_DSC,A.WK_ENDING_DT as WK_ENDING_DT,A.PERIOD_TO_DATE as PERIOD_TO_DATE,A.PRD_DSC_LONG as PRD_DSC_LONG,A.SPERIOD_DSC as SPERIOD_DSC,A.WK_ENDING_DSC as WK_ENDING_DSC,A.PRD_DSC_SHORT as PRD_DSC_SHORT,A.CURRENT_PERIODS as CURRENT_PERIODS,A.HOLIDAY_PERIODS as HOLIDAY_PERIODS,A.FYEAR_DSC as FYEAR_DSC,A.HYTD as HYTD,A.SYEAR_DSC as SYEAR_DSC,A.CALENDAR as CALENDAR,A.PRD_KEY as PRD_KEY,A.CUME_RUL_TYP as CUME_RUL_TYP,A.CALENDAR_CADENCE as CALENDAR_CADENCE,A.PYEAR_ORD as PYEAR_ORD,A.INTEGRATION as INTEGRATION,A.WEEKS13 as WEEKS13,A.QUARTERS_RTA as QUARTERS_RTA,A.HALF_YEARS_RTA as HALF_YEARS_RTA,A.PPERIOD_ORD as PPERIOD_ORD,A.PCKG_ID as PCKG_ID,A.YEAR_ORD as YEAR_ORD FROM CS_OD_MSTR_US_PROD.PUBLIC.CSSYNPRD_PRD_DIM_CSNLSSYNDPI_PROD_20201226_RPT A WHERE (
( 
-- Start Rule Based Restrictions

( 
--- GRP_ID: 1

( 
--- GRP_ID: 1 and SUB_GRP_ID: 1

( 
--- Start of INCLUDE
( A.DT_SRC_DTL_NM = 'ON-DEMAND 12E 445 SYNDICATED CALENDAR' or A.DT_SRC_DTL_NM = 'ON-DEMAND 13A 444 SYNDICATED CALENDAR' )AND( A.PCKG_ID = '160' or A.PCKG_ID = '163' or A.PCKG_ID = '60' or A.PCKG_ID = '63' )) 
--- End of INCLUDE

) 
-- End of SUB_GRP_ID 1

) 
-- End of GRP_ID 1

) 
-- End Rule Based Restrictions
);",false,false
2021-01-04 18:42:04.651 -0800,TRND_SBST_AGG,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,create or replace VIEW TRND_SBST_AGG as select * from CSNLSSYNDPI_PROD..TRND_SBST_AGG_20201226;,false,false
2021-01-04 17:40:59.134 -0800,PRDC_HRCH,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,"CREATE OR REPLACE VIEW PRDC_HRCH AS ( SELECT CTG_DFL_ID, EFC_DT, ESPEC_BRAND_ID, MULTIPACK, INSERT_TS, PRC_CNVR_FCTR_1, PRC_CNVR_FCTR_2, PRC_CNVR_SZ_1, PRC_CNVR_SZ_2, PRDC_KEY, SCD_ID, TRND_PRDC_ID, U_CNVR_FCTR_1, U_CNVR_FCTR_2, U_CNVR_SZ_1, U_CNVR_SZ_2, VALID_TO FROM CS_OD_MSTR_US_PROD.PUBLIC.CSSYNDPRDC_PRDC_HRCH_CSNLSSYNDPI_PROD_20201226_RPT WHERE PRDC_KEY IN (SELECT DISTINCT PRDC_KEY FROM PRDC_DIM) and SRC in (SELECT DISTINCT DT_SRC_DTL_NM FROM CS_OD_MSTR_US_PROD.PUBLIC.CSSYNDPRDC_DB_DT_SRC_PRTY_20201226_SYN where DB_NM='CSNLSSYNDPI_PROD'));",false,false
2021-01-04 19:03:08.873 -0800,TRND_SBST_AGG_EQ,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,"create or replace view TRND_SBST_AGG_EQ
        as
	select ts2.PRD_ID,ts2.TRND_PRDC_ID,ts2.POD_ID,ts2.CSL_ID,ts2.PRDC_KEY,ts2.DSP_K,ts2.UNITS,ts2.BUNITS,ts2.DOL,ts2.BDOL,ts2.ACV,ts2.FTR,ts2.DSP,ts2.PRICE_MULT,ts2.TPR,ts2.LONGSLS_FLG,
	NVL(MPACK_FCTR,0)::numeric(18,8) AS MPACK_FCTR,
	NVL(MPACK_FCTR2,0)::numeric(18,8) AS MPACK_FCTR2
	from (
        select ts.PRD_ID,ts.TRND_PRDC_ID,ts.POD_ID,ts.CSL_ID,ts.PRDC_KEY,ts.DSP_K,ts.UNITS,ts.BUNITS,ts.DOL,ts.BDOL,ts.ACV,ts.FTR,ts.DSP,ts.PRICE_MULT,ts.TPR,ts.LONGSLS_FLG,
        nvl( CASE WHEN ph.U_CNVR_FCTR_1 <> 0 THEN PH.MULTIPACK * PH.U_CNVR_SZ_1 / PH.U_CNVR_FCTR_1 else 0 end,0) AS MPACK_FCTR,
	nvl( CASE WHEN ph.U_CNVR_FCTR_2 <> 0 THEN PH.MULTIPACK * PH.U_CNVR_SZ_2 / PH.U_CNVR_FCTR_2 else 0 end,0) AS MPACK_FCTR2
        from  TRND_SBST_AGG ts
        JOIN (select distinct PRD_ID, WK_ENDING_DT from PRD_DIM where PRD_DET_LVL = 'WEEK') pd
        on pd.PRD_ID = ts.PRD_ID
        LEFT OUTER JOIN PRDC_HRCH ph
        on ph.trnd_prdc_id = ts.trnd_prdc_id
        and ph.prdc_key = ts.prdc_key
        and pd.WK_ENDING_DT between  ph.EFC_DT and ph.VALID_TO) ts2;",false,false
2021-01-04 18:42:23.406 -0800,TRND_SBST_AGG_NON_BL,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,"create or replace VIEW TRND_SBST_AGG_NON_BL as select PRD_ID,TRND_PRDC_ID,POD_ID,CSL_ID,PRDC_KEY,UNITS,DOL,ACV,DSP_K,FTR,DSP,PRICE_MULT,TPR,LONGSLS_FLG,MPACK_FCTR from CSNLSSYNDPI_PROD..TRND_SBST_AGG_20201226 where UNITS > 0 or DOL > 0;",false,false
2021-01-04 19:03:19.803 -0800,TRND_SBST_AGG_NON_BL_EQ,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,"create or replace view TRND_SBST_AGG_NON_BL_EQ
        as
	select ts2.PRD_ID,ts2.TRND_PRDC_ID,ts2.POD_ID,ts2.CSL_ID,ts2.PRDC_KEY,ts2.UNITS,ts2.DOL,ts2.ACV,ts2.DSP_K,ts2.FTR,ts2.DSP,ts2.PRICE_MULT,ts2.TPR,ts2.LONGSLS_FLG,
	NVL(MPACK_FCTR,0)::numeric(18,8) AS MPACK_FCTR,
	NVL(MPACK_FCTR2,0)::numeric(18,8) AS MPACK_FCTR2
	from (
        select ts.PRD_ID,ts.TRND_PRDC_ID,ts.POD_ID,ts.CSL_ID,ts.PRDC_KEY,ts.UNITS,ts.DOL,ts.ACV,ts.DSP_K,ts.FTR,ts.DSP,ts.PRICE_MULT,ts.TPR,ts.LONGSLS_FLG,
        nvl( CASE WHEN ph.U_CNVR_FCTR_1 <> 0 THEN PH.MULTIPACK * PH.U_CNVR_SZ_1 / PH.U_CNVR_FCTR_1 else 0 end,0) AS MPACK_FCTR,
	nvl( CASE WHEN ph.U_CNVR_FCTR_2 <> 0 THEN PH.MULTIPACK * PH.U_CNVR_SZ_2 / PH.U_CNVR_FCTR_2 else 0 end,0) AS MPACK_FCTR2
        from  TRND_SBST_AGG_NON_BL ts
        JOIN (select distinct PRD_ID, WK_ENDING_DT from PRD_DIM where PRD_DET_LVL = 'WEEK') pd
        on pd.PRD_ID = ts.PRD_ID
        LEFT OUTER JOIN PRDC_HRCH ph
        on ph.trnd_prdc_id = ts.trnd_prdc_id
        and ph.prdc_key = ts.prdc_key
        and pd.WK_ENDING_DT between  ph.EFC_DT and ph.VALID_TO) ts2;",false,false
2021-01-04 18:45:12.926 -0800,TRND_SBST_DISAGG,,CSNLSSYNDPI_PROD,PUBLIC,NIELSENBUY_CS_OD_BE_RW_ROLE,,create or replace VIEW TRND_SBST_DISAGG as select * from CSNLSSYNDPI_PROD..TRND_SBST_DISAGG_20201226;,false,false
